provincia,total,pbi_campo,pbi_minería,pbi_energia_agua_gas,pbi_construccion,pbi_industrias_manufactureras,pbi_comercio
Aguascalientes,147075,5654,1754,1272,16736,44499,22034
Baja California Norte,383296,10984,1058,17941,42206,73309,62216
Baja California Sur,100023,3222,3326,4236,15652,2310,16136
Campeche,631107,3579,506913,1440,44626,2421,13369
Coahuila,437286,9673,11519,12297,22988,176362,49141
Colima,76636,3744,655,6633,9752,4633,12689
Chiapas,229586,17722,19007,8977,18567,19155,41384
Chihuahua,374805,26095,9610,12903,28630,77241,58011
Distrito Federal,2243141,1186,295,11744,64787,158272,370801
Durango,156766,15213,5648,4938,13849,30720,22795
Guanajuato,522433,18862,2337,9964,47060,144766,80519
Guerrero,186638,8086,482,10187,20982,9641,32053
Hidalgo,209113,7726,2111,8202,16089,62788,28489
Jalisco,822031,43993,3089,15440,72938,157382,170115
Edo. de México,1191907,17152,2282,20212,91074,281887,219813
Michoacán,300066,31362,891,7515,16078,46958,61379
Morelos,156127,4779,464,1083,11620,34332,26384
Nayarit,84321,6372,410,1855,10984,4381,14310
Nuevo León,964150,5419,13309,21353,92496,234355,162354
Oaxaca,204922,12420,1399,4955,29157,30020,30933
Puebla,420572,17500,10316,10190,26108,93487,67404
Querétaro,270260,5937,1718,5423,33097,72947,46309
Quintana Roo,206155,1482,847,4689,16070,5616,35217
San luis Potosí,253897,9226,9698,9069,24712,67039,35853
Sinaloa,268996,27902,867,7647,23611,25080,60163
Sonora,395197,25595,50403,12512,31532,79207,62517
Tabasco,425305,5149,248083,2252,21862,20991,35306
Tamaulipas,402250,11399,36185,22226,27469,66747,58361
Tlaxcala,71569,2868,13,1034,2629,21217,9758
Veracruz,675385,29645,52531,27710,65169,131787,93851
Yucatán,190095,5889,1644,6358,22027,28887,40912
Zacatecas,121562,11597,25660,1389,9781,10456,16806
