provincia,total,restaurantes,cafeterias,discotecas y centros nocturnos,bares,otros
Aguascalientes,427,303,50,41,33,ND
Baja California Norte,ND,ND,ND,ND,ND,ND
Baja California Sur,392,310,22,27,33,0
Campeche,809,607,59,34,109,0
Coahuila,2603,2210,20,38,335,0
Colima,352,298,5,6,43,ND
Chiapas,1601,1293,120,74,114,0
Chihuahua,3608,2631,284,196,497,ND
Distrito Federal,1145,967,97,13,50,18
Durango,810,640,44,32,82,12
Guanajuato,2171,1323,121,27,160,540
Guerrero,759,607,34,52,66,ND
Hidalgo,806,621,59,22,104,ND
Jalisco,2711,1780,156,58,311,406
Edo. de México,1790,1790,ND,ND,ND,ND
Michoacán,208,165,7,9,26,1
Morelos,1565,967,235,21,342,0
Nayarit,877,318,50,20,33,456
Nuevo León,571,448,47,47,29,ND
Oaxaca,2053,1261,131,37,118,506
Puebla,1471,1267,102,18,80,4
Querétaro,1294,871,99,13,127,184
Quintana Roo,1573,1125,74,69,282,23
San luis Potosí,636,518,54,19,45,ND
Sinaloa,1482,1286,58,41,97,ND
Sonora,1163,880,74,66,143,ND
Tabasco,1189,859,69,24,100,137
Tamaulipas,749,537,43,6,19,144
Tlaxcala,372,235,84,5,48,ND
Veracruz,5173,4305,241,157,470,ND
Yucatán,628,563,32,13,12,8
Zacatecas,999,539,51,31,106,272
